domain	ageusia	anosmia	chest pain	cough	coughing	diarrea	difficulty breathing	dsypnea	fever	loss smell	loss taste	rhinorrhea	running nose	runny nose	shortness of breath	sore throat	throat pain	total	missing
acaai.org	30	30	30	30	30	30	30	30	30	30	30	30	17	22	30	30	30	28.7647058823529	15
dictionary.cambridge.org	30	30	30	30	30	22	30	30	30	30	30	30	30	30	30	30	30	29.5294117647059	16
ecancer.org	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2352941176471	16
emedicine.medscape.com	30	30	30	30	30	30	30	30	30	30	30	21	30	30	30	30	30	29.4705882352941	16
en.wikipedia.org	1	6	30	15	30	11	30	11	21	30	30	1	30	30	30	30	30	21.5294117647059	10
en.wiktionary.org	12	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	28.0588235294118	15
familydoctor.org	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	13	22	28	14
foundation.chestnet.org	30	30	30	30	30	30	17	30	30	30	30	30	30	30	14	30	30	28.2941176470588	15
fpnotebook.com	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	29.0588235294118	16
gi.org	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	28.8235294117647	16
github.com	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.3529411764706	16
hartfordhealthcare.org	30	30	30	30	30	30	30	30	30	30	30	30	10	9	30	30	30	27.5882352941176	15
health.clevelandclinic.org	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0588235294118	16
health.mountsinai.org	30	30	30	30	30	30	30	30	30	7	30	30	30	30	30	30	7	27.2941176470588	15
health.ucsd.edu	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2941176470588	16
health.usnews.com	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	29.3529411764706	16
healthtalk.unchealthcare.org	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1764705882353	16
hms.harvard.edu	30	3	30	30	30	30	30	30	30	1	30	30	30	30	30	30	30	26.7058823529412	15
jamanetwork.com	30	16	30	30	30	30	30	30	30	30	30	22	30	30	30	21	30	28.1764705882353	14
journals.lww.com	11	23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.4705882352941	15
kidshealth.org	30	30	30	12	13	12	30	30	11	30	30	30	30	30	30	12	15	23.8235294117647	11
littlespurspedi.com	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	29.2352941176471	16
medbroadcast.com	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	29.2941176470588	16
medlineplus.gov	10	30	10	7	9	1	7	30	10	30	30	18	13	13	12	11	21	15.4117647058824	4
my.clevelandclinic.org	30	30	4	30	30	30	30	9	13	30	30	2	16	17	30	30	30	23	11
myhealth.alberta.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	29.2941176470588	16
newsinhealth.nih.gov	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	29.5882352941176	16
osteopathic.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	17	28.4117647058824	15
parkridgehealth.com	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	29.2941176470588	16
patient.info	30	30	30	30	30	30	30	30	30	30	21	30	30	30	30	30	30	29.4705882352941	16
pediatricassociatesnc.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	29.5294117647059	16
psychology.wikia.org	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1176470588235	16
rehydrate.org	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	29.4117647058824	16
symptoms.webmd.com	30	30	30	4	30	30	30	30	30	30	30	30	30	30	30	30	30	28.4705882352941	16
uvahealth.com	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	28.7058823529412	16
vicks.com	30	30	30	30	30	30	30	30	16	30	30	30	5	10	30	30	30	26.5294117647059	14
wa.kaiserpermanente.org	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4117647058824	16
wesleymc.com	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1176470588235	16
www.aafp.org	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	29.2352941176471	16
www.apdaparkinson.org	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	29.2352941176471	16
www.bbc.com	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	29.3529411764706	16
www.beckershospitalreview.com	30	8	30	30	30	30	30	30	30	8	9	30	30	30	30	30	30	26.1764705882353	14
www.biospace.com	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	30	30	29.5882352941176	16
www.brighamandwomens.org	30	30	30	30	30	30	30	8	30	30	30	30	30	30	20	30	30	28.1176470588235	15
www.brighamandwomensfaulkner.org	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	29.4117647058824	16
www.buoyhealth.com	30	30	30	30	30	30	30	30	30	30	30	3	21	30	30	30	30	27.8823529411765	15
www.cancer.net	30	30	30	30	30	30	30	10	30	30	30	30	30	30	16	30	30	28	15
www.cancer.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	29.5882352941176	16
www.cancerresearchuk.org	30	30	30	30	30	30	30	30	3	30	30	30	30	30	30	30	30	28.4117647058824	16
www.cancertherapyadvisor.com	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	29.3529411764706	16
www.cdc.gov	30	11	30	18	19	30	30	30	5	30	8	30	19	16	30	9	4	20.5294117647059	8
www.cebm.net	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	29	16
www.cedars-sinai.org	30	30	30	30	30	30	30	30	30	30	11	30	30	30	30	30	30	28.8823529411765	16
www.cff.org	30	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	30	29.4705882352941	16
www.childrenshospital.org	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	28.7647058823529	16
www.cigna.com	30	15	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	28.5882352941176	15
www.cincinnatichildrens.org	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.3529411764706	16
www.clevelandclinicmeded.com	30	30	30	30	30	30	30	12	30	30	30	30	30	30	30	30	30	28.9411764705882	16
www.clinicalmicrobiologyandinfection.com	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1764705882353	16
www.contagionlive.com	30	12	30	30	30	30	30	30	30	14	15	30	30	30	30	30	30	27.1176470588235	14
www.dictionary.com	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.4117647058824	16
www.dispatchhealth.com	30	30	30	5	4	30	30	30	30	30	30	30	30	30	30	30	30	27	15
www.drugs.com	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	29.5882352941176	16
www.entandallergy.com	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	29.1176470588235	16
www.entnet.org	30	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6470588235294	16
www.everydayhealth.com	30	30	30	30	30	30	12	30	30	30	30	30	30	30	30	30	30	28.9411764705882	16
www.fifthsense.org.uk	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.3529411764706	16
www.franciscanhealth.org	30	30	30	30	30	30	30	30	30	30	30	30	30	24	30	30	30	29.6470588235294	16
www.hackensackmeridianhealth.org	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	29.2352941176471	16
www.health.harvard.edu	30	30	8	8	8	30	30	30	22	30	30	30	30	30	6	4	6	21.2941176470588	10
www.healthgrades.com	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	29.2941176470588	16
www.healthline.com	30	2	7	2	1	7	1	1	9	11	2	4	3	7	3	2	2	5.52941176470588	1
www.healthychildren.org	30	30	30	30	30	30	30	30	14	30	30	30	24	30	30	19	30	28.0588235294118	14
www.heart.org	30	30	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.5882352941176	16
www.henryford.com	30	30	30	30	30	30	30	30	30	30	30	30	11	12	30	30	30	27.8235294117647	15
www.hopkinsmedicine.org	8	21	30	30	30	30	4	30	30	30	24	30	30	30	17	30	30	25.5294117647059	12
www.iffgd.org	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	28.7647058823529	16
www.indigourgentcare.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	29.1764705882353	16
www.insider.com	30	30	30	30	30	30	30	30	2	30	30	30	30	30	30	30	30	28.3529411764706	16
www.jacionline.org	30	30	30	30	30	30	30	30	30	30	30	10	30	30	30	30	30	28.8235294117647	16
www.jpedhc.org	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	29.3529411764706	16
www.keckmedicine.org	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	29.4117647058824	16
www.laent.com	30	22	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5294117647059	16
www.lung.org	30	30	30	11	15	30	16	30	30	30	30	30	30	30	5	30	30	25.7058823529412	13
www.mayoclinic.org	30	4	2	1	11	2	9	3	1	20	5	7	1	1	1	1	1	5.88235294117647	1
www.medicalnewstoday.com	30	30	3	13	5	30	8	7	7	30	16	30	18	18	30	14	30	18.7647058823529	7
www.medicinenet.com	9	30	9	10	10	30	3	30	8	30	3	16	12	11	10	30	30	16.5294117647059	6
www.medscape.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	9	27.4117647058824	15
www.medstarhealth.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	13	27.8235294117647	15
www.memorialhermann.org	30	9	30	30	30	30	30	30	30	30	6	30	30	30	30	30	30	27.3529411764706	15
www.merckmanuals.com	30	30	18	30	30	30	30	13	30	22	30	9	30	30	30	30	30	26.5882352941176	13
www.merriam-webster.com	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6470588235294	16
www.minnpost.com	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	30	29.5882352941176	16
www.mountsinai.org	30	30	30	30	30	30	11	30	30	30	30	30	22	20	30	15	14	26	12
www.msdmanuals.com	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	29.0588235294118	16
www.mskcc.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	5	28.5294117647059	16
www.muhealth.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	29.5882352941176	16
www.nationaljewish.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	29.5294117647059	16
www.ncbi.nlm.nih.gov	2	10	30	30	30	30	30	6	4	6	7	5	30	30	30	30	30	20	10
www.nchmd.org	30	30	30	30	30	30	30	30	30	30	30	30	14	15	30	30	30	28.1764705882353	15
www.nebraskamed.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	28.7058823529412	16
www.netmeds.com	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.5882352941176	16
www.news-medical.net	30	30	30	30	30	30	30	30	30	30	30	11	30	30	30	30	30	28.8823529411765	16
www.nhlbi.nih.gov	30	30	30	14	17	30	30	30	30	30	30	30	30	30	30	30	30	28.2941176470588	15
www.nhs.uk	30	5	30	19	18	30	20	30	30	10	17	30	30	30	15	30	10	22.5882352941176	9
www.nhsinform.scot	30	30	13	16	3	30	30	30	30	30	30	30	30	30	30	30	19	25.9411764705882	13
www.nicklauschildrens.org	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	29.3529411764706	16
www.niddk.nih.gov	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	30	28.7058823529412	16
www.osfhealthcare.org	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	29.1176470588235	16
www.pennmedicine.org	30	30	30	17	20	30	30	30	30	30	30	30	30	30	30	30	20	28.0588235294118	14
www.rush.edu	30	30	17	30	30	30	30	20	30	30	30	30	30	30	21	30	30	28.1176470588235	14
www.rxlist.com	30	30	30	30	30	30	30	30	19	30	30	14	30	30	30	17	30	27.6470588235294	14
www.sciencealert.com	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	29.1176470588235	16
www.sciencedaily.com	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	29.0588235294118	16
www.sciencedirect.com	5	30	30	30	30	30	30	30	30	30	30	12	30	30	30	30	30	27.4705882352941	15
www.sharecare.com	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2941176470588	16
www.spandidos-publications.com	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29	16
www.spectrumhealthlakeland.org	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	29.1176470588235	16
www.stanfordchildrens.org	30	30	30	30	30	30	30	30	30	30	30	6	15	19	30	30	30	27.0588235294118	14
www.statnews.com	30	17	30	30	30	30	30	30	30	2	30	30	30	30	30	30	30	27.5882352941176	15
www.thefreedictionary.com	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0588235294118	16
www.thelancet.com	30	24	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6470588235294	16
www.theraflu.com	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	29.5882352941176	16
www.tylenol.ca	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	29.5882352941176	16
www.uab.edu	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	29.2352941176471	16
www.uclahealth.org	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	29	16
www.umms.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	28.7647058823529	16
www.unboundmedicine.com	4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.4705882352941	16
www.unitypoint.org	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	29.0588235294118	16
www.uofmhealth.org	30	30	30	30	30	6	30	30	30	30	30	30	30	30	30	18	11	26.7647058823529	14
www.uptodate.com	30	30	21	30	30	30	30	21	30	30	30	30	30	30	24	30	30	28.5882352941176	14
www.urmc.rochester.edu	30	30	30	30	30	30	30	4	30	30	30	30	7	3	30	30	30	25.5294117647059	14
www.uspharmacist.com	30	30	30	30	30	30	30	30	30	30	12	30	30	30	30	30	30	28.9411764705882	16
www.vumc.org	30	30	30	30	30	30	30	30	30	13	1	30	30	30	30	30	30	27.2941176470588	15
www.webmd.com	30	1	1	6	7	4	6	2	6	3	4	30	4	4	11	6	8	7.82352941176471	2
www.who.int	30	30	30	30	30	19	30	30	30	30	30	30	6	2	30	5	30	24.8235294117647	13
www.wkhs.com	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	29.2941176470588	16
www.yalemedicine.org	30	13	30	30	30	30	30	30	30	5	30	30	30	30	30	30	30	27.5294117647059	15
www.youtube.com	20	30	30	20	30	30	30	16	20	30	30	30	30	30	30	30	30	27.4117647058824	13
