domain	agueusie coronavirus	agueusie covid	anosmie coronavirus	anosmie covid	chiasse coronavirus	chiasse covid	courbature coronavirus	courbature covid	diarrhée covid	douleur thoracique covid	douleur thorax coronavirus	douleur thorax covid	dyspnée coronavirus	dyspnée covid	essouflement covid	fièvre coronavirus	fièvre covid	gene respiratoire coronavirus	gene respiratoire covid	gêne respiratoire coronavirus	mal de gorge coronavirus	mal de gorge covid	mal thoracique coronavirus	mal thoracique covid	mal à respirer coronavirus	mal à respirer covid	maux de gorge coronavirus	maux de gorge covid	nez qui coule coronavirus	nez qui coule covid	oppression thoracique covid	perte de gout coronavirus	perte de gout covid	perte de goût coronavirus	perte de goût covid	perte odorat coronavirus	rhinorrhée coronavirus	rhinorrhée covid	thermomètre coronavirus	thermomètre covid	tousse coronavirus	tousse covid	tousser coronavirus	tousser covid	toux coronavirus	toux covid	écoulement nasale coronavirus	écoulement nasale covid	éruption cutanée coronavirus	éruption cutanée covid	total	missing
www.huffingtonpost.fr	30	30	30	30	19	30	30	30	30	14	10	13	30	30	30	30	30	30	30	19	30	30	12	9	30	30	30	30	11	18	30	30	20	30	19	30	20	20	30	30	30	30	30	30	30	30	30	30	30	30	26.28	37
www.hug-ge.ch	30	30	30	30	6	11	30	30	30	30	30	30	2	1	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	10	30	30	30	30	30	30	30	30	30	30	30	30	27.2	44
www.hug.ch	16	30	16	30	10	30	30	30	30	17	17	17	20	30	30	10	13	30	30	30	21	15	17	30	30	30	17	18	14	30	30	30	30	30	30	30	5	8	30	30	15	14	12	14	15	30	10	13	30	30	22.48	26
www.illustre.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	29.32	48
www.imad-ge.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.56	49
www.inesss.qc.ca	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	17	15	28.64	45
www.infirmiers.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.72	49
www.lacote.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	17	30	30	30	19	30	30	30	30	30	28.94	46
www.ladepeche.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.54	48
www.laliberte.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	6	5	5	4	4	5	30	30	30	30	26.98	44
www.laprovence.com	30	30	30	30	14	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	48
www.lavoixdunord.fr	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.94	47
www.ledauphine.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	29.78	49
www.lejdd.fr	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	29.54	48
www.lemanbleu.ch	30	30	30	30	30	5	30	30	4	30	30	30	30	30	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.52	47
www.lematin.ch	11	10	5	4	30	30	20	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	4	3	5	3	4	14	30	6	14	12	16	20	30	30	30	30	30	30	30	22.74	32
www.lemessager.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.78	49
www.lemonde.fr	30	30	15	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	17	30	30	30	30	30	30	12	30	19	30	18	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.64	42
www.lenouvelliste.ch	4	9	6	14	30	30	5	6	30	4	4	4	30	30	30	7	14	30	30	30	24	14	5	4	30	30	30	30	9	12	3	6	7	7	9	6	9	13	1	3	30	30	18	17	14	13	30	30	30	30	16.82	19
www.leparisien.fr	30	30	30	30	9	6	30	30	10	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	28.06	45
www.lequotidiendumedecin.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	29.72	49
www.lesechos.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	48
www.lesoleil.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49
www.letemps.ch	2	3	2	3	4	7	30	30	11	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	16	30	30	30	17	30	30	3	2	3	2	2	12	9	12	30	30	13	15	11	18	14	30	30	30	30	20.2	27
www.levif.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	10	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	28.86	47
www.lfm.ch	30	30	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	4	1	4	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.04	44
www.liberation.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	29	47
www.liguepulmonaire.ch	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.36	48
www.ligues-rhumatisme.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	29.78	49
www.linternaute.com	30	30	30	30	30	30	16	12	30	30	30	30	30	30	14	30	30	30	30	30	30	10	30	30	30	30	30	14	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	27.84	43
www.louvainmedical.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	6	29.08	48
www.marieclaire.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	9	30	30	30	30	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	47
www.mediamarkt.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	29.66	49
www.mesvaccins.net	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	20	30	30	29.56	48
www.migros-impuls.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	13	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	47
www.mmemed.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	29.56	49
www.msdmanuals.com	30	30	30	30	30	30	30	30	30	30	30	30	4	9	30	30	30	11	19	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.06	45
www.msf.ch	30	30	30	30	30	30	30	30	30	30	30	30	16	14	30	30	17	30	30	30	20	30	30	30	18	17	30	30	3	2	30	30	30	30	30	30	1	1	30	30	5	6	11	6	9	7	1	1	30	30	22.3	32
www.ne.ch	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	30	19	30	28.46	45
www.news-medical.net	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	7	29.12	48
www.numerama.com	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.74	49
www.omron-healthcare.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	30	30	30	30	30	30	30	30	30	30	29.54	49
www.ouest-france.fr	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	5	6	30	30	30	30	30	30	30	30	30	30	28.8	47
www.palliative-vs.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.8	49
www.palliative.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	49
www.parismatch.com	30	30	30	30	30	30	11	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.3	48
www.passeportsante.net	30	30	30	30	30	30	1	1	18	3	2	2	6	30	2	17	30	8	8	6	30	30	2	2	17	7	30	30	30	30	2	30	30	30	30	30	30	30	30	30	30	18	30	19	7	4	30	30	30	30	20.44	29
www.planetesante.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	48
www.pourquoidocteur.fr	30	30	30	30	13	30	30	30	30	19	11	11	30	30	30	30	30	30	30	30	30	30	8	11	30	30	30	30	30	30	30	30	30	30	30	30	15	15	30	30	30	30	30	30	30	30	30	30	30	30	27.26	42
www.princeedwardisland.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	29.72	49
www.promotionsantevalais.ch	30	30	30	30	30	30	3	3	30	30	30	30	30	30	30	30	30	30	30	30	7	5	18	30	30	30	7	4	30	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	26.24	42
www.quebec.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	12	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.98	47
www.ra-sante.com	10	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.06	47
www.radiolac.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	18	11	30	30	30	30	30	30	30	30	30	30	30	28.36	45
www.revmed.ch	1	1	1	1	30	10	19	16	9	30	30	30	1	2	12	30	15	14	9	11	30	30	30	30	30	12	20	30	30	30	11	1	1	2	1	1	11	3	30	30	30	30	30	30	30	30	30	30	30	30	18.7	25
www.rfj.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	16	30	30	30	30	30	30	8	11	30	30	30	30	30	30	30	30	30	30	30	30	28.5	46
www.rheuma-net.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.62	49
www.rki.de	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.36	48
www.rtbf.be	13	20	13	18	30	30	30	30	30	11	9	10	30	30	30	30	30	30	30	30	30	30	6	5	30	30	30	30	30	30	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	26.2	40
www.rts.ch	5	6	3	5	30	30	30	30	6	8	30	9	8	12	30	19	30	30	30	30	30	30	30	8	30	30	30	30	18	30	30	5	5	4	5	3	30	30	8	30	16	30	16	12	13	9	30	30	13	13	19.58	25
www.safetravel.ch	30	30	30	30	30	30	30	30	30	1	1	1	30	30	1	6	10	2	1	2	6	4	1	1	2	1	6	6	30	30	1	30	30	30	30	30	30	30	30	30	9	10	8	10	5	11	30	30	3	11	16.8	24
www.santelog.com	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	12	12	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.42	45
www.santemagazine.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	30	30	9	3	9	30	30	30	30	4	3	30	30	30	30	30	11	11	10	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	25.46	40
www.science-et-vie.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	29.58	49
www.sciencedirect.com	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.72	49
www.seriniti.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	29.58	49
www.sggg.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	13	12	13	15	30	30	30	30	30	30	28.44	45
www.swica.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	11	30	30	30	30	12	11	30	30	30	30	30	30	30	30	30	30	30	30	19	30	19	18	6	6	30	30	30	30	26.98	41
www.swissdocu.ch	30	12	30	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	2	2	27.76	45
www.swissinfo.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	29.74	49
www.synlab.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	7	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.46	47
www.tcs.ch	30	30	30	30	30	30	14	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.46	48
www.tdg.ch	30	30	30	30	5	3	2	2	8	30	30	30	30	30	17	30	16	30	30	30	14	8	30	30	30	30	9	8	6	6	30	30	30	30	30	30	2	2	10	12	30	30	30	30	30	30	30	30	7	8	21.5	31
www.thefork.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	29.74	49
www.topsante.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	20	30	30	30	30	30	30	30	30	30	30	30	17	30	14	30	30	30	30	30	30	30	19	30	30	17	30	30	30	30	30	28.54	44
www.unige.ch	12	8	30	17	30	30	30	30	30	30	30	30	10	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	6	30	30	30	30	30	30	30	30	13	30	30	30	27.1	42
www.unisante.ch	30	30	30	30	30	30	30	30	19	30	30	30	30	30	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	29.02	47
www.unitar.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	18	30	30	29.38	48
www.uptodate.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	19	29.5	48
www.usinenouvelle.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	30	30	30	30	30	30	30	30	30	30	29.48	49
www.vd.ch	7	5	9	7	30	30	15	30	30	30	30	30	30	30	30	8	7	30	30	30	19	16	30	30	10	30	14	17	30	30	30	30	30	30	30	14	30	30	30	30	8	30	10	30	10	12	30	30	30	30	23.56	33
www.who.int	30	30	30	30	18	30	30	30	30	30	30	30	7	18	30	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.66	46
www.widoobiz.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.68	49
www.youtube.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	11	8	30	30	30	30	19	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.36	45
www3.unifr.ch	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.46	48
