domain	agueusie	anosmie	chiasse	courbature	diarrhée	douleur thoracique	douleur thorax	dyspnée	essouflement	fièvre	gene respiratoire	gêne respiratoire	mal thoracique	mal à respirer	maux de gorge	oppression thoracique	perte de gout	perte de goût	perte odorat	rhinorrhée	thermomètre	tousser	toux	écoulement nasale	éruption cutanée	avg rank	top 20 missing	top 20 % present	weighted avg rank	honcode	type
www.passeportsante.net	3	4	30	2	10	4	3	2	2	9	2	3	4	1	2	2	3	2	4	10	30	10	5	3	13	6.5	2	92%	8.4	expired	health
www.planetesante.ch	5	10	30	14	13	10	12	16	30	6	4	4	13	7	16	5	5	30	2	30	30	19	9	17	9	13.8	5	80%	17.1	valid	health
www.msdmanuals.com	30	7	30	30	19	11	10	19	4	3	7	7	12	14	10	7	11	6	6	2	30	30	30	2	6	13.7	6	76%	17.6	valid	health
www.revmed.ch	2	1	30	30	8	1	1	6	30	10	1	1	6	6	30	1	1	1	1	12	30	30	7	30	30	12.2	8	68%	17.9	expired	health
sante.journaldesfemmes.fr	1	6	30	9	30	9	7	17	15	18	6	6	9	2	8	30	30	13	3	30	30	7	30	22	4	14.9	7	72%	19.1	non	media/health
fr.wikipedia.org	4	3	30	1	16	13	14	1	30	1	18	17	15	30	30	10	12	9	15	3	9	30	30	20	30	15.6	7	72%	19.7	non	dict
www.doctissimo.fr	6	15	7	6	3	12	11	30	30	7	30	30	1	30	11	6	30	30	11	15	30	30	4	18	1	16.2	9	64%	21.1	non	health
www.santemagazine.fr	30	5	30	12	5	18	19	30	30	5	9	11	18	20	30	17	15	10	8	30	30	30	30	30	22	19.8	10	60%	23.9	non	health
sante.lefigaro.fr	30	30	30	19	30	30	30	3	7	2	8	8	30	30	12	30	30	30	13	1	30	30	30	30	30	22.1	16	36%	27.2	non	media
www.allodocteurs.fr	30	30	30	30	30	7	6	30	30	30	30	30	8	16	18	8	30	30	30	30	30	9	2	30	30	23.4	17	32%	27.9	expired	health
www.femmeactuelle.fr	30	17	30	30	4	30	20	30	5	30	5	5	19	30	30	30	30	15	30	30	30	30	30	30	30	24.0	17	32%	28.1	non	media
www.topsante.com	30	30	30	30	30	30	30	30	16	30	3	2	30	4	30	30	14	7	30	30	30	30	30	30	30	24.6	19	24%	28.7	non	media
www.pourquoidocteur.fr	30	30	30	30	30	3	2	30	30	30	30	30	2	30	30	30	30	30	12	30	30	12	30	30	21	24.9	19	24%	28.8	expired	health
www.futura-sciences.com	30	9	30	16	30	30	30	30	9	30	30	30	30	30	30	30	30	30	14	30	5	30	30	19	30	25.7	19	24%	29.0	non	media
www.hug-ge.ch	30	30	30	30	11	30	30	11	30	30	30	30	30	30	30	20	30	30	30	9	30	30	14	11	30	25.8	19	24%	29.0	non	health/edu
www.creapharma.ch	30	30	30	15	6	30	30	30	30	8	30	30	30	30	7	30	30	30	30	30	30	30	1	30	30	25.5	20	20%	29.1	valid	health
hellocare.com	30	30	30	30	30	8	8	30	30	30	30	30	10	30	30	11	30	30	30	30	30	30	30	30	5	25.7	20	20%	29.1	non	health
www.ameli.fr	30	30	30	30	30	5	4	30	30	30	30	30	11	30	4	18	30	30	30	30	30	30	30	30	30	25.7	20	20%	29.1	expired	health
www.larousse.fr	11	30	2	22	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	5	30	30	30	26.4	20	20%	29.3	non	dict
www.youtube.com	30	30	30	30	30	15	15	30	30	30	10	10	16	30	30	30	30	30	30	30	30	30	30	30	30	26.6	20	20%	29.3	non	media
www.avogel.ca	30	30	30	30	30	6	30	30	30	30	30	30	3	30	30	4	30	30	30	30	30	30	30	13	30	26.2	21	16%	29.4		
www.sunstore.ch	30	30	30	30	7	30	30	30	30	30	30	30	30	30	6	30	30	30	30	30	1	30	23	30	30	26.7	21	16%	29.5		
www.safetravel.ch	30	30	30	30	30	30	18	30	30	30	30	30	17	18	30	3	30	30	30	30	30	30	30	30	30	27.4	21	16%	29.6		
fr.wiktionary.org	7	30	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	6	30	30	30	27.0	22	12%	29.6		
www.hug.ch	30	30	30	30	18	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	13	15	30	30	27.8	21	16%	29.6		
www.soignez-moi.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	1	12	30	30	30	30	30	30	6	30	30	27.2	22	12%	29.7		
www.inesss.qc.ca	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	14	18	30	30	30	30	30	30	27.9	21	16%	29.7		
www.letemps.ch	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	5	30	30	30	30	30	30	27.2	22	12%	29.7		
www.canalvie.com	30	30	30	10	30	30	30	30	30	30	30	30	30	30	3	30	30	30	30	30	30	11	30	30	30	27.4	22	12%	29.7		
www.heidi.news	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	4	30	30	30	30	30	30	30	27.5	22	12%	29.7		
www.santelog.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	8	10	30	30	30	30	30	30	27.5	22	12%	29.7		
www.cancer.ca	30	30	30	30	30	30	30	30	30	30	19	30	5	5	30	30	30	30	30	30	30	30	30	30	30	27.6	22	12%	29.7		
www.ouest-france.fr	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	30	30	30	5	30	27.6	22	12%	29.7		
www.walaarzneimittel.ch	30	30	30	30	30	30	30	30	30	12	30	30	30	30	9	30	30	30	30	30	30	30	11	30	30	27.7	22	12%	29.7		
www.cnrtl.fr	30	30	4	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	27.8	22	12%	29.7		
ressourcessante.salutbonjour.ca	30	30	30	30	21	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	1	30	27.9	22	12%	29.7		
www.bbc.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	12	9	30	30	30	30	30	30	28.0	22	12%	29.8		
www.sante-sur-le-net.com	19	13	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.0	22	12%	29.8		
www.concordia.ch	30	30	30	30	14	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	28.0	22	12%	29.8		
www.havea.com	30	30	30	30	30	30	30	30	30	30	17	16	30	11	30	30	30	30	30	30	30	30	30	30	30	28.2	22	12%	29.8		
www.concilio.com	30	30	30	30	30	30	30	14	30	30	30	30	30	22	30	30	30	30	30	11	30	30	30	30	30	28.3	22	12%	29.8		
www.hsnsudbury.ca	30	30	30	30	30	16	30	30	30	30	30	30	21	30	30	13	30	30	30	30	30	30	30	30	30	28.4	22	12%	29.8		
www.linguee.com	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	16	30	20	30	30	30	30	30	30	30	28.5	22	12%	29.8		
www.medecine.ups-tlse.fr	30	30	30	30	30	30	30	10	30	30	30	18	30	30	30	30	30	30	30	24	30	30	30	30	30	28.5	22	12%	29.8		
www.linternaute.fr	30	30	1	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	30	30	30	27.8	23	8%	29.8		
www.lfm.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	3	30	30	30	30	30	30	30	27.9	23	8%	29.8		
www.louvainmedical.be	30	30	30	30	30	19	16	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	28.6	22	12%	29.8		
vicks.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	5	30	30	30	4	30	28.0	23	8%	29.8		
www.qare.fr	30	30	30	30	30	30	30	30	30	4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	28.0	23	8%	29.8		
toux.ooreka.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	6	30	30	30	7	30	28.1	23	8%	29.8		
www.lenouvelliste.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	5	30	30	30	30	30	30	30	28.2	23	8%	29.9		
www.ks-mag.com	30	30	30	30	30	30	30	4	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.3	23	8%	29.9		
www.theraserena.com	30	30	30	30	30	30	30	30	3	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	28.3	23	8%	29.9		
la-conjugaison.nouvelobs.com	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	1	30	30	30	28.4	23	8%	29.9		
blog.hopitalvs.ch	30	30	30	30	30	30	30	30	8	30	30	30	30	12	30	30	30	30	30	30	30	30	30	30	30	28.4	23	8%	29.9		
www.centre-paul-strauss.fr	30	30	30	30	30	30	30	30	30	30	11	9	30	30	30	30	30	30	30	30	30	30	30	30	30	28.4	23	8%	29.9		
www.lalanguefrancaise.com	30	30	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	28.5	23	8%	29.9		
www.lemonde.fr	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	30	30	30	30	30	30	28.5	23	8%	29.9		
www.lepharmaciendefrance.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	16	30	28.6	23	8%	29.9		
www.liguepulmonaire.ch	30	30	30	30	30	30	30	30	30	30	12	12	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	23	8%	29.9		
www.news-medical.net	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	16	28.6	23	8%	29.9		
fr.pons.com	30	30	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	28.6	23	8%	29.9		
www.amavita.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	10	30	30	30	30	28.6	23	8%	29.9		
www.coeuretavc.ca	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	28.6	23	8%	29.9		
www.rts.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	11	30	30	30	30	30	30	30	28.7	23	8%	29.9		
www.chu-rouen.fr	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	28.7	23	8%	29.9		
www.liberation.fr	30	30	30	30	30	30	30	30	30	30	14	14	30	30	30	30	30	30	30	30	30	30	30	30	30	28.7	23	8%	29.9		
www.europe1.fr	30	30	30	30	30	30	30	30	30	30	16	13	30	30	30	30	30	30	30	30	30	30	30	30	30	28.8	23	8%	29.9		
www.allergienet.com	30	30	30	30	30	30	30	30	30	30	15	15	30	30	30	30	30	30	30	30	30	30	30	30	30	28.8	23	8%	29.9		
www.hirslanden.ch	30	30	30	30	17	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.8	23	8%	29.9		
www.lungenliga.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	13	30	30	28.8	23	8%	29.9		
www.humanitas.net	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	28.9	23	8%	29.9		
dictionnaire.reverso.net	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	30	29.0	23	8%	29.9		
naitreetgrandir.com	30	30	30	30	30	30	30	30	30	16	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	29.0	23	8%	29.9		
www.20minutes.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	17	30	30	30	30	30	30	30	29.1	23	8%	29.9		
www.docteurclic.com	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	29.1	23	8%	29.9		
www.reflexosteo.com	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	15	30	30	30	30	30	30	30	30	30	29.1	23	8%	29.9		
eurekasante.vidal.fr	30	30	30	30	22	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	23	8%	29.9		
campus.cerimes.fr	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	29.2	23	8%	29.9		
www.lamutuellegenerale.fr	30	30	30	30	30	30	30	30	1	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.8	24	4%	30.0		
www.pileje.ch	30	30	30	30	1	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.8	24	4%	30.0		
leconjugueur.lefigaro.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	30	30	30	28.9	24	4%	30.0		
www.groupeproxim.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	28.9	24	4%	30.0		
www.maxisciences.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	30	30	30	30	28.9	24	4%	30.0		
www.mongeneraliste.be	30	30	30	30	2	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	24	4%	30.0		
optipharm.eu	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	30	30	28.9	24	4%	30.0		
www.catie.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	28.9	24	4%	30.0		
www.fitnesspark.fr	30	30	30	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	24	4%	30.0		
www.mediprostore.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	30	30	30	30	28.9	24	4%	30.0		
bodyhit.fr	30	30	30	4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0	24	4%	30.0		
cnrtl.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	30	30	30	29.0	24	4%	30.0		
lasante.net	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	30	30	30	30	30	29.0	24	4%	30.0		
www.pharma-gdd.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	30	30	30	30	29.0	24	4%	30.0		
www.msf.ch	30	30	30	30	24	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	29.5	23	8%	30.0		
