domain	ageusia	anosmia	chest pain	cough	coughing	diarrea	difficulty breathing	dsypnea	fever	loss smell	loss taste	rhinorrhea	running nose	runny nose	shortness of breath	sore throat	throat pain	avg position	nb missing	% presence	weighted avg position	honcode	type
www.healthline.com	30	2	7	2	1	7	1	1	9	11	2	4	3	7	3	2	2	5.5	1	94%	7.0	valid	health
www.mayoclinic.org	30	4	2	1	11	2	9	3	1	20	5	7	1	1	1	1	1	5.9	1	94%	7.3	valid	health
www.webmd.com	30	1	1	6	7	4	6	2	6	3	4	30	4	4	11	6	8	7.8	2	88%	10.4	valid	health
medlineplus.gov	10	30	10	7	9	1	7	30	10	30	30	18	13	13	12	11	21	15.4	4	76%	18.8	expired	health/gov
www.medicinenet.com	9	30	9	10	10	30	3	30	8	30	3	16	12	11	10	30	30	16.5	6	65%	21.3	valid	health
www.medicalnewstoday.com	30	30	3	13	5	30	8	7	7	30	16	30	18	18	30	14	30	18.8	7	59%	23.4	expired	health
www.cdc.gov	30	11	30	18	19	30	30	30	5	30	8	30	19	16	30	9	4	20.5	8	53%	25.0	none	health/gov
www.ncbi.nlm.nih.gov	2	10	30	30	30	30	30	6	4	6	7	5	30	30	30	30	30	20.0	10	41%	25.9	expired	health/gov
www.health.harvard.edu	30	30	8	8	8	30	30	30	22	30	30	30	30	30	6	4	6	21.3	10	41%	26.4	none	health/edu
www.nhs.uk	30	5	30	19	18	30	20	30	30	10	17	30	30	30	15	30	10	22.6	9	47%	26.5	none	health/gov
en.wikipedia.org	1	6	30	15	30	11	30	11	21	30	30	1	30	30	30	30	30	21.5	10	41%	26.5	none	dict
my.clevelandclinic.org	30	30	4	30	30	30	30	9	13	30	30	2	16	17	30	30	30	23.0	11	35%	27.5	expired	health
kidshealth.org	30	30	30	12	13	12	30	30	11	30	30	30	30	30	30	12	15	23.8	11	35%	27.8	expired	health
www.hopkinsmedicine.org	8	21	30	30	30	30	4	30	30	30	24	30	30	30	17	30	30	25.5	12	29%	28.7	none	health
www.who.int	30	30	30	30	30	19	30	30	30	30	30	30	6	2	30	5	30	24.8	13	24%	28.8	expired	health/gov
www.mountsinai.org	30	30	30	30	30	30	11	30	30	30	30	30	22	20	30	15	14	26.0	12	29%	28.8	none	health
www.lung.org	30	30	30	11	15	30	16	30	30	30	30	30	30	30	5	30	30	25.7	13	24%	29.0	none	health
www.nhsinform.scot	30	30	13	16	3	30	30	30	30	30	30	30	30	30	30	30	19	25.9	13	24%	29.0	none	health
www.merckmanuals.com	30	30	18	30	30	30	30	13	30	22	30	9	30	30	30	30	30	26.6	13	24%	29.2	valid	health
www.urmc.rochester.edu	30	30	30	30	30	30	30	4	30	30	30	30	7	3	30	30	30	25.5	14	18%	29.2	none	health/edu
www.beckershospitalreview.com	30	8	30	30	30	30	30	30	30	8	9	30	30	30	30	30	30	26.2	14	18%	29.3		
vicks.com	30	30	30	30	30	30	30	30	16	30	30	30	5	10	30	30	30	26.5	14	18%	29.4		
www.youtube.com	20	30	30	20	30	30	30	16	20	30	30	30	30	30	30	30	30	27.4	13	24%	29.4		
www.uofmhealth.org	30	30	30	30	30	6	30	30	30	30	30	30	30	30	30	18	11	26.8	14	18%	29.4		
www.stanfordchildrens.org	30	30	30	30	30	30	30	30	30	30	30	6	15	19	30	30	30	27.1	14	18%	29.5		
www.contagionlive.com	30	12	30	30	30	30	30	30	30	14	15	30	30	30	30	30	30	27.1	14	18%	29.5		
www.rxlist.com	30	30	30	30	30	30	30	30	19	30	30	14	30	30	30	17	30	27.6	14	18%	29.6		
hms.harvard.edu	30	3	30	30	30	30	30	30	30	1	30	30	30	30	30	30	30	26.7	15	12%	29.6		
www.dispatchhealth.com	30	30	30	5	4	30	30	30	30	30	30	30	30	30	30	30	30	27.0	15	12%	29.6		
familydoctor.org	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	13	22	28.0	14	18%	29.6		
www.healthychildren.org	30	30	30	30	30	30	30	30	14	30	30	30	24	30	30	19	30	28.1	14	18%	29.7		
www.pennmedicine.org	30	30	30	17	20	30	30	30	30	30	30	30	30	30	30	30	20	28.1	14	18%	29.7		
www.rush.edu	30	30	17	30	30	30	30	20	30	30	30	30	30	30	21	30	30	28.1	14	18%	29.7		
jamanetwork.com	30	16	30	30	30	30	30	30	30	30	30	22	30	30	30	21	30	28.2	14	18%	29.7		
health.mountsinai.org	30	30	30	30	30	30	30	30	30	7	30	30	30	30	30	30	7	27.3	15	12%	29.7		
www.vumc.org	30	30	30	30	30	30	30	30	30	13	1	30	30	30	30	30	30	27.3	15	12%	29.7		
www.memorialhermann.org	30	9	30	30	30	30	30	30	30	30	6	30	30	30	30	30	30	27.4	15	12%	29.7		
www.medscape.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	9	27.4	15	12%	29.7		
www.sciencedirect.com	5	30	30	30	30	30	30	30	30	30	30	12	30	30	30	30	30	27.5	15	12%	29.7		
www.yalemedicine.org	30	13	30	30	30	30	30	30	30	5	30	30	30	30	30	30	30	27.5	15	12%	29.7		
hartfordhealthcare.org	30	30	30	30	30	30	30	30	30	30	30	30	10	9	30	30	30	27.6	15	12%	29.7		
www.statnews.com	30	17	30	30	30	30	30	30	30	2	30	30	30	30	30	30	30	27.6	15	12%	29.7		
www.henryford.com	30	30	30	30	30	30	30	30	30	30	30	30	11	12	30	30	30	27.8	15	12%	29.7		
www.medstarhealth.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	13	27.8	15	12%	29.7		
www.uptodate.com	30	30	21	30	30	30	30	21	30	30	30	30	30	30	24	30	30	28.6	14	18%	29.8		
www.buoyhealth.com	30	30	30	30	30	30	30	30	30	30	30	3	21	30	30	30	30	27.9	15	12%	29.8		
www.cancer.net	30	30	30	30	30	30	30	10	30	30	30	30	30	30	16	30	30	28.0	15	12%	29.8		
en.wiktionary.org	12	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	28.1	15	12%	29.8		
www.brighamandwomens.org	30	30	30	30	30	30	30	8	30	30	30	30	30	30	20	30	30	28.1	15	12%	29.8		
www.nchmd.org	30	30	30	30	30	30	30	30	30	30	30	30	14	15	30	30	30	28.2	15	12%	29.8		
foundation.chestnet.org	30	30	30	30	30	30	17	30	30	30	30	30	30	30	14	30	30	28.3	15	12%	29.8		
www.nhlbi.nih.gov	30	30	30	14	17	30	30	30	30	30	30	30	30	30	30	30	30	28.3	15	12%	29.8		
osteopathic.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	17	28.4	15	12%	29.8		
journals.lww.com	11	23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.5	15	12%	29.8		
www.cigna.com	30	15	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	28.6	15	12%	29.8		
acaai.org	30	30	30	30	30	30	30	30	30	30	30	30	17	22	30	30	30	28.8	15	12%	29.9		
www.insider.com	30	30	30	30	30	30	30	30	2	30	30	30	30	30	30	30	30	28.4	16	6%	29.9		
www.cancerresearchuk.org	30	30	30	30	30	30	30	30	3	30	30	30	30	30	30	30	30	28.4	16	6%	29.9		
www.dictionary.com	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.4	16	6%	29.9		
symptoms.webmd.com	30	30	30	4	30	30	30	30	30	30	30	30	30	30	30	30	30	28.5	16	6%	29.9		
www.unboundmedicine.com	4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.5	16	6%	29.9		
www.mskcc.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	5	28.5	16	6%	29.9		
www.heart.org	30	30	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	16	6%	29.9		
www.netmeds.com	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	16	6%	29.9		
www.entnet.org	30	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	16	6%	29.9		
www.merriam-webster.com	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	16	6%	29.9		
uvahealth.com	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	28.7	16	6%	29.9		
www.nebraskamed.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	28.7	16	6%	29.9		
www.niddk.nih.gov	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	30	28.7	16	6%	29.9		
www.childrenshospital.org	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	28.8	16	6%	29.9		
www.iffgd.org	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	28.8	16	6%	29.9		
www.umms.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	28.8	16	6%	29.9		
gi.org	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	28.8	16	6%	29.9		
www.jacionline.org	30	30	30	30	30	30	30	30	30	30	30	10	30	30	30	30	30	28.8	16	6%	29.9		
www.cedars-sinai.org	30	30	30	30	30	30	30	30	30	30	11	30	30	30	30	30	30	28.9	16	6%	29.9		
www.news-medical.net	30	30	30	30	30	30	30	30	30	30	30	11	30	30	30	30	30	28.9	16	6%	29.9		
www.clevelandclinicmeded.com	30	30	30	30	30	30	30	12	30	30	30	30	30	30	30	30	30	28.9	16	6%	29.9		
www.everydayhealth.com	30	30	30	30	30	30	12	30	30	30	30	30	30	30	30	30	30	28.9	16	6%	29.9		
www.uspharmacist.com	30	30	30	30	30	30	30	30	30	30	12	30	30	30	30	30	30	28.9	16	6%	29.9		
www.cebm.net	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	29.0	16	6%	29.9		
www.spandidos-publications.com	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0	16	6%	29.9		
www.uclahealth.org	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	29.0	16	6%	29.9		
fpnotebook.com	30	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
health.clevelandclinic.org	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.msdmanuals.com	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.sciencedaily.com	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	30	29.1	16	6%	29.9		
www.thefreedictionary.com	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.unitypoint.org	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
psychology.wikia.org	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
wesleymc.com	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.entandallergy.com	30	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	29.1	16	6%	29.9		
www.osfhealthcare.org	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.sciencealert.com	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	29.1	16	6%	29.9		
www.spectrumhealthlakeland.org	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	29.1	16	6%	29.9		
healthtalk.unchealthcare.org	30	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
www.clinicalmicrobiologyandinfection.com	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
www.indigourgentcare.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	29.2	16	6%	30.0		
ecancer.org	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
littlespurspedi.com	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
www.aafp.org	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
www.apdaparkinson.org	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	29.2	16	6%	30.0		
www.hackensackmeridianhealth.org	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	29.2	16	6%	30.0		
www.uab.edu	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	29.2	16	6%	30.0		
health.ucsd.edu	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.3	16	6%	30.0		
medbroadcast.com	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	29.3	16	6%	30.0		
myhealth.alberta.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	29.3	16	6%	30.0		
parkridgehealth.com	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	29.3	16	6%	30.0		
www.healthgrades.com	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	30	30	29.3	16	6%	30.0		
www.sharecare.com	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.3	16	6%	30.0		
www.wkhs.com	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	30	30	29.3	16	6%	30.0		
github.com	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
health.usnews.com	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	29.4	16	6%	30.0		
www.bbc.com	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	29.4	16	6%	30.0		
www.cancertherapyadvisor.com	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
www.cincinnatichildrens.org	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
www.fifthsense.org.uk	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
www.jpedhc.org	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	29.4	16	6%	30.0		
www.nicklauschildrens.org	30	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
rehydrate.org	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
wa.kaiserpermanente.org	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	16	6%	30.0		
www.brighamandwomensfaulkner.org	30	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	29.4	16	6%	30.0		
www.keckmedicine.org	30	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	29.4	16	6%	30.0		
emedicine.medscape.com	30	30	30	30	30	30	30	30	30	30	30	21	30	30	30	30	30	29.5	16	6%	30.0		
patient.info	30	30	30	30	30	30	30	30	30	30	21	30	30	30	30	30	30	29.5	16	6%	30.0		
www.cff.org	30	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	30	29.5	16	6%	30.0		
dictionary.cambridge.org	30	30	30	30	30	22	30	30	30	30	30	30	30	30	30	30	30	29.5	16	6%	30.0		
pediatricassociatesnc.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	29.5	16	6%	30.0		
www.laent.com	30	22	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	16	6%	30.0		
www.nationaljewish.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	29.5	16	6%	30.0		
newsinhealth.nih.gov	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	29.6	16	6%	30.0		
www.biospace.com	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	30	30	29.6	16	6%	30.0		
www.cancer.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	29.6	16	6%	30.0		
www.drugs.com	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	29.6	16	6%	30.0		
www.minnpost.com	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	30	29.6	16	6%	30.0		
www.muhealth.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	29.6	16	6%	30.0		
www.theraflu.com	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	29.6	16	6%	30.0		
www.tylenol.ca	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	29.6	16	6%	30.0		
www.franciscanhealth.org	30	30	30	30	30	30	30	30	30	30	30	30	30	24	30	30	30	29.6	16	6%	30.0		
www.thelancet.com	30	24	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	16	6%	30.0		